Pending_Time,Appts_Pending_National,Appts_Pending_Over_30_Days_%_National,PC_Wait_Pending_National,SC_Wait_Pending_National,MH_Wait_Pending_National
National: 9/1/2016,6908055,0.0733,6.36,10.21,4.43
National: 8/15/2016,6803336,0.075,6.57,10.36,4.47
National: 8/1/2016,6710914,0.0765,6.63,10.46,4.43
National: 7/15/2016,6637517,0.0793,6.84,10.71,4.58
National: 7/1/2016,6574400,0.08,6.91,10.69,4.63
National: 6/15/2016,6455383,0.0798,6.99,10.6,4.64
National: 6/1/2016,6421794,0.079,6.95,10.48,4.62
National: 5/15/2016,6689547,0.0756,6.89,10.15,4.43
National: 5/1/2016,6703520,0.0738,6.8,9.9,4.23
National: 4/15/2016,6460487,0.0747,6.92,9.94,4.19
National: 4/1/2016,6457830,0.0751,6.96,9.89,4.03
National: 3/15/2016,6353299,0.076,7.16,10.04,4.25
National: 3/1/2016,6312188,0.0762,7.19,9.99,4.26
National: 2/15/2016,6468615,0.0778,7.41,10.19,4.56
National: 2/1/2016,6196280,0.0809,7.5,10.49,4.89
National: 1/15/2016,6139100,0.0857,7.83,11.02,5.36
National: 1/1/2016,6289103,0.0906,8.06,11.36,5.53
National: 12/15/2015,5954375,0.0915,8.2,11.47,5.55
National: 12/1/2015,6019856,0.0902,8.09,11.37,5.47
National: 11/15/2015,6309735,0.0811,7.37,10.56,4.76
"6,089,177",5593520,3467,10.49,4.86,
National: 10/15/2015,6098397,0.0797,7.11,10.39,4.9
National: 10/1/2015,6089828,0.0769,6.84,10.05,4.7
National: 9/15/2015,6059608,0.0751,6.79,9.89,4.68
National: 9/1/2015,6052480,0.074,6.75,9.73,4.61
National: 8/15/2015,6252087,0.0726,6.81,9.54,4.58
National: 8/1/2015,6228657,0.071,6.77,9.29,4.54
National: 7/15/2015,5921350,0.0792,7.7,9.98,5.3
National: 7/1/2015,5979472,0.0776,7.77,9.74,5.2
National: 6/15/2015,5829959,0.0753,7.87,9.5,5.06
National: 6/1/2015,5810529,0.074,7.79,9.23,5.01
National: 5/15/2015,5849122,0.073,7.8,9.1,4.94
National: 5/1/2015,5929069,0.0715,7.79,8.88,4.89
National: 4/15/2015,6071867,0.0715,7.99,8.92,5.01
National: 4/1/2015,6019386,0.0717,7.94,8.77,4.95
National: 3/15/2015,6070418,0.0622,6.92,7.93,4.26
National: 3/1/2015,6016497,0.0603,6.76,7.68,4.17
National: 2/15/2015,5961339,0.0598,6.76,7.66,4.22
National: 2/1/2015,5959465,0.0592,6.7,7.58,4.22
National: 1/15/2015,5684461,0.0634,6.97,7.89,4.54
National: 1/1/2015,5806214,0.067,7.14,8.07,4.7
National: 12/15/2014,5632971,0.0678,7.19,8.04,4.7
National: 12/1/2014,5737248,0.066,6.95,7.83,4.61
National: 11/15/2014,5908192,0.0644,6.88,7.62,4.45
National: 11/1/2014,5980644,0.063,6.71,7.49,4.27
National: 10/15/2014,5885354,0.0628,6.73,7.49,4.28
National: 10/1/2014,5913070,0.0601,6.43,7.21,4.11
